ID,Exact label,Normalized name,Value,Qualifier,Unit,Data type,Definition,Page,Section,Category (IAOOI-v0),AoO chapter,Geographic level,Geographic scope,Period,Source (quote),Confidence,Status,DQ refs,Note
IND-044,holding a master's degree,survey.education.masters,950,at_most,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,nearly 950 holding a master's degree,H,extracted,,
IND-045,enrolled in master's programs,survey.education.masters_enrolled,383,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,383 members are currently enrolled in master's programs,H,extracted,,
IND-046,pursuing doctoral studies,survey.education.doctoral,90,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,90 are pursuing doctoral studies,H,extracted,,
IND-047,technical or vocational qualifications,survey.education.vocational,160,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,3,The Profile of a JCI Member,CONTEXT,—,survey_sample,2025 Membership Experience Survey,2025,160 members reported technical or vocational qualifications,H,extracted,,
IND-048,members,network.members.total,147670,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,8 (+9),Membership Details,CONTEXT,—,global_network,GLOBAL,2025,"powered by 147,670 members",H,extracted,DQC-01,
IND-049,Total Members — Africa & Middle East,network.members.afme,15102,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,8 (+9),Membership Details,CONTEXT,—,geographic_area,AFME,2025,"Africa & Middle East 15,102",H,extracted,,
IND-050,Total Members — Africa & Middle East — share,network.members.afme.share,0.102,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,8,Membership Details,CONTEXT,—,geographic_area,AFME,2025,"Africa & Middle East 15,102 (10.2%)",H,extracted,,
IND-051,Total Members — Asia & the Pacific,network.members.aspac,103170,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,8 (+9),Membership Details,CONTEXT,—,geographic_area,ASPAC,2025,"Asia & the Pacific 103,170",H,extracted,,
IND-052,Total Members — Asia & the Pacific — share,network.members.aspac.share,0.6990000000000001,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,8,Membership Details,CONTEXT,—,geographic_area,ASPAC,2025,"Asia & the Pacific 103,170 (69.9%)",H,extracted,,
IND-053,Total Members — America,network.members.america,11775,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,8 (+9),Membership Details,CONTEXT,—,geographic_area,AMERICA,2025,"America 11,775",H,extracted,,
IND-054,Total Members — America — share,network.members.america.share,0.08,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,8,Membership Details,CONTEXT,—,geographic_area,AMERICA,2025,"America 11,775 (8.0%)",H,extracted,,
IND-055,Total Members — Europe,network.members.europe,17623,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,8 (+9),Membership Details,CONTEXT,—,geographic_area,EUROPE,2025,"Europe 17,623",H,extracted,,
IND-056,Total Members — Europe — share,network.members.europe.share,0.11900000000000001,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,8,Membership Details,CONTEXT,—,geographic_area,EUROPE,2025,"Europe 17,623 (11.9%)",H,extracted,,
IND-057,Number of Members (Area Wise) — America (chart),network.members.america.share.chart,0.8,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,8,Membership Details,CONTEXT,—,geographic_area,AMERICA,2025,"America 11,775 (80%)",L,extracted,DQC-25,likely typo of 8.0%; kept as published
IND-058,Local Organizations,network.local_organizations.total,4641,exact,local_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,8 (+11),Membership Details,CONTEXT,—,global_network,GLOBAL,2025,"4,641 Local Organizations provide the grassroots foundation",H,extracted,DQC-04,
IND-059,Local Organizations (LO) — Africa & Middle East,network.local_organizations.afme,468,exact,local_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,"8 (+9, 11)",Membership Details,CONTEXT,—,geographic_area,AFME,2025,Africa & Middle East 468,H,extracted,,
IND-060,Local Organizations (LO) — Africa & Middle East — share,network.local_organizations.afme.share,0.10099999999999999,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,8,Membership Details,CONTEXT,—,geographic_area,AFME,2025,Africa & Middle East 468 (10.1%),H,extracted,,
IND-061,Local Organizations (LO) — Asia & the Pacific,network.local_organizations.aspac,2945,exact,local_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,"8 (+9, 11)",Membership Details,CONTEXT,—,geographic_area,ASPAC,2025,"Asia & the Pacific 2,945",H,extracted,,
IND-062,Local Organizations (LO) — Asia & the Pacific — share,network.local_organizations.aspac.share,0.635,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,8,Membership Details,CONTEXT,—,geographic_area,ASPAC,2025,"Asia & the Pacific 2,945 (63.5%)",H,extracted,,
IND-063,Local Organizations (LO) — America,network.local_organizations.america,492,exact,local_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,"8 (+9, 11)",Membership Details,CONTEXT,—,geographic_area,AMERICA,2025,America 492,H,extracted,,
IND-064,Local Organizations (LO) — America — share,network.local_organizations.america.share,0.106,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,8,Membership Details,CONTEXT,—,geographic_area,AMERICA,2025,America 492 (10.6%),H,extracted,,
IND-065,Local Organizations (LO) — Europe,network.local_organizations.europe,736,exact,local_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,"8 (+9, 11)",Membership Details,CONTEXT,—,geographic_area,EUROPE,2025,Europe 736,H,extracted,,
IND-066,Local Organizations (LO) — Europe — share,network.local_organizations.europe.share,0.158,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,8,Membership Details,CONTEXT,—,geographic_area,EUROPE,2025,Europe 736 (15.8%),H,extracted,,
IND-067,Number of Local Organizations (Area Wise) — Europe — share,network.local_organizations.europe.share.p11,0.159,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,11,Local Organizations,CONTEXT,—,geographic_area,EUROPE,2025,Europe 736 (15.9%),H,extracted,DQC-19,
IND-068,National Organizations,network.national_organizations.total,114,exact,national_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,8 (+10),Membership Details,CONTEXT,—,global_network,GLOBAL,2025,114 National Organizations coordinate these efforts at the country level,H,extracted,,
IND-069,Areas of the world,network.geographic_areas.count,4,exact,geographic_area,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,8,Membership Details,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,JCI operates across 4 Areas of the world,H,extracted,,
IND-070,Global Presence (Countries),network.countries.map,114,exact,country,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,9,International Presence – Operational Areas,CONTEXT,—,global_network,GLOBAL,2025,Global Presence (114 Countries),H,extracted,DQC-02,
IND-071,Global Presence — list of countries,network.countries.list,,,country_list,list,NOT SPECIFIED IN THE SOURCE DOCUMENT,9,International Presence – Operational Areas,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,—,H,visual_data_not_extracted,VDX-01,
IND-072,Number of National Organizations (Area Wise) — Africa and the Middle East,network.national_organizations.afme,33,exact,national_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,10,National Organizations,CONTEXT,—,geographic_area,AFME,2025,Africa and the Middle East 33,H,extracted,,
IND-073,Number of National Organizations (Area Wise) — Africa and the Middle East — share,network.national_organizations.afme.share,0.289,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,10,National Organizations,CONTEXT,—,geographic_area,AFME,2025,Africa and the Middle East 33 (28.9%),H,extracted,,
IND-074,Number of National Organizations (Area Wise) — Asia and the Pacific,network.national_organizations.aspac,22,exact,national_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,10,National Organizations,CONTEXT,—,geographic_area,ASPAC,2025,Asia and the Pacific 22,H,extracted,,
IND-075,Number of National Organizations (Area Wise) — Asia and the Pacific — share,network.national_organizations.aspac.share,0.193,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,10,National Organizations,CONTEXT,—,geographic_area,ASPAC,2025,Asia and the Pacific 22 (19.3%),H,extracted,,
IND-076,Number of National Organizations (Area Wise) — America,network.national_organizations.america,22,exact,national_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,10,National Organizations,CONTEXT,—,geographic_area,AMERICA,2025,America 22,H,extracted,,
IND-077,Number of National Organizations (Area Wise) — America — share,network.national_organizations.america.share,0.193,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,10,National Organizations,CONTEXT,—,geographic_area,AMERICA,2025,America 22 (19.3%),H,extracted,,
IND-078,Number of National Organizations (Area Wise) — Europe,network.national_organizations.europe,37,exact,national_organization,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,10,National Organizations,CONTEXT,—,geographic_area,EUROPE,2025,Europe 37,H,extracted,,
IND-079,Number of National Organizations (Area Wise) — Europe — share,network.national_organizations.europe.share,0.325,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,10,National Organizations,CONTEXT,—,geographic_area,EUROPE,2025,Europe 37 (32.5%),H,extracted,,
IND-080,Total Number of Alumni Clubs,network.alumni_clubs.total,366,exact,club,integer,The JCI Alumni Club maintains the connection and commitment of former members who have passed the age of 40.,12,JCI Alumni Clubs,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,Total Number of Alumni Clubs 366,H,extracted,,
IND-081,Number of JCI Alumni Clubs (Area Wise) — Asia and the Pacific,network.alumni_clubs.aspac,175,exact,club,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,12,JCI Alumni Clubs,CONTEXT,—,geographic_area,ASPAC,NOT SPECIFIED,Asia and the Pacific 175,H,extracted,,
IND-082,Number of JCI Alumni Clubs (Area Wise) — Asia and the Pacific — share,network.alumni_clubs.aspac.share,0.4781,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,12,JCI Alumni Clubs,CONTEXT,—,geographic_area,ASPAC,NOT SPECIFIED,Asia and the Pacific 175 (47.81%),H,extracted,,
IND-083,Number of JCI Alumni Clubs (Area Wise) — America,network.alumni_clubs.america,4,exact,club,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,12,JCI Alumni Clubs,CONTEXT,—,geographic_area,AMERICA,NOT SPECIFIED,America 4,H,extracted,,
IND-084,Number of JCI Alumni Clubs (Area Wise) — America — share,network.alumni_clubs.america.share,0.0109,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,12,JCI Alumni Clubs,CONTEXT,—,geographic_area,AMERICA,NOT SPECIFIED,America 4 (1.09%),H,extracted,,
IND-085,Number of JCI Alumni Clubs (Area Wise) — Africa and the Middle East,network.alumni_clubs.afme,6,exact,club,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,12,JCI Alumni Clubs,CONTEXT,—,geographic_area,AFME,NOT SPECIFIED,Africa and the Middle East 6,H,extracted,,
IND-086,Number of JCI Alumni Clubs (Area Wise) — Africa and the Middle East — share,network.alumni_clubs.afme.share,0.016399999999999998,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,12,JCI Alumni Clubs,CONTEXT,—,geographic_area,AFME,NOT SPECIFIED,Africa and the Middle East 6 (1.64%),H,extracted,,
IND-087,Number of JCI Alumni Clubs (Area Wise) — Europe,network.alumni_clubs.europe,181,exact,club,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,12,JCI Alumni Clubs,CONTEXT,—,geographic_area,EUROPE,NOT SPECIFIED,Europe 181,H,extracted,,
IND-088,Number of JCI Alumni Clubs (Area Wise) — Europe — share,network.alumni_clubs.europe.share,0.49450000000000005,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,12,JCI Alumni Clubs,CONTEXT,—,geographic_area,EUROPE,NOT SPECIFIED,Europe 181 (49.45%),H,extracted,,
IND-089,Total Number of Members (Alumni Clubs),network.alumni_clubs.members,1343,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,12,JCI Alumni Clubs,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,"Total Number of Members 1,343",H,extracted,,
IND-090,Total Countries Represented (Alumni Clubs),network.alumni_clubs.countries,18,exact,country,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,12,JCI Alumni Clubs,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,Total Countries Represented 18,H,extracted,,
IND-091,Total Number of Junior Clubs,network.junior_clubs.total,89,exact,club,integer,The JCI Junior Club engages young people between the ages of 14 and 21,13,JCI Junior Club,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,Total Number of Junior Clubs 89,H,extracted,,
IND-092,Number of JCI Junior Clubs (Area Wise) — Asia and the Pacific,network.junior_clubs.aspac,60,exact,club,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,13,JCI Junior Club,CONTEXT,—,geographic_area,ASPAC,NOT SPECIFIED,Asia and the Pacific 60,H,extracted,,
IND-093,Number of JCI Junior Clubs (Area Wise) — Asia and the Pacific — share,network.junior_clubs.aspac.share,0.6742,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,13,JCI Junior Club,CONTEXT,—,geographic_area,ASPAC,NOT SPECIFIED,Asia and the Pacific 60 (67.42%),H,extracted,,
IND-094,Number of JCI Junior Clubs (Area Wise) — America,network.junior_clubs.america,14,exact,club,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,13,JCI Junior Club,CONTEXT,—,geographic_area,AMERICA,NOT SPECIFIED,America 14,H,extracted,,
IND-095,Number of JCI Junior Clubs (Area Wise) — America — share,network.junior_clubs.america.share,0.1573,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,13,JCI Junior Club,CONTEXT,—,geographic_area,AMERICA,NOT SPECIFIED,America 14 (15.73%),H,extracted,,
IND-096,Number of JCI Junior Clubs (Area Wise) — Africa and the Middle East,network.junior_clubs.afme,12,exact,club,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,13,JCI Junior Club,CONTEXT,—,geographic_area,AFME,NOT SPECIFIED,Africa and the Middle East 12,H,extracted,,
IND-097,Number of JCI Junior Clubs (Area Wise) — Africa and the Middle East — share,network.junior_clubs.afme.share,0.1348,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,13,JCI Junior Club,CONTEXT,—,geographic_area,AFME,NOT SPECIFIED,Africa and the Middle East 12 (13.48%),H,extracted,,
IND-098,Number of JCI Junior Clubs (Area Wise) — Europe,network.junior_clubs.europe,3,exact,club,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,13,JCI Junior Club,CONTEXT,—,geographic_area,EUROPE,NOT SPECIFIED,Europe 3,H,extracted,,
IND-099,Number of JCI Junior Clubs (Area Wise) — Europe — share,network.junior_clubs.europe.share,0.0337,exact,ratio,percentage,NOT SPECIFIED IN THE SOURCE DOCUMENT,13,JCI Junior Club,CONTEXT,—,geographic_area,EUROPE,NOT SPECIFIED,Europe 3 (3.37%),H,extracted,,
IND-100,Total Number of Members (Junior Clubs),network.junior_clubs.members,527,exact,person,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,13,JCI Junior Club,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,Total Number of Members 527,H,extracted,,
IND-101,Total Countries Represented (Junior Clubs),network.junior_clubs.countries,21,exact,country,integer,NOT SPECIFIED IN THE SOURCE DOCUMENT,13,JCI Junior Club,CONTEXT,—,global_network,GLOBAL,NOT SPECIFIED,Total Countries Represented 21,H,extracted,,
